name,team,apps,mins,tackles,ints,pos won,blocks,clearances,Ground Duels -total,Ground Duels %,Aerial Duels -total,Aerial Duels %,team_poss,tackles_padj,ints_padj,pos won_padj,blocks_padj,clearances_padj,Ground Duels -total_padj,Aerial Duels -total_padj,tackles_padj_z,ints_padj_z,pos won_padj_z,blocks_padj_z,clearances_padj_z,Ground Duels -total_padj_z,Ground Duels %_z,Aerial Duels -total_padj_z,Aerial Duels %_z,Cluster,Cluster_Name,Cluster_0_%,Cluster_1_%,Cluster_2_%,Cluster_3_%,Max_Percentage
Pierre Kalulu,Juventus,37,3282,1.7,0.66,4.33,0.22,1.7,4.06,56.8,2.06,46.7,57.6,2.0047169811320757,0.7783018867924529,5.106132075471699,0.25943396226415094,2.0047169811320757,4.787735849056603,2.429245283018868,0.897563012175862,-0.9875512576640346,1.297341700093477,-1.767916812982952,-2.2310330661464257,0.33662120356462216,0.3091256333116678,-0.9973732597341447,-1.352429555308106,0,Ground Specialist,41.4,23.7,15.2,19.7,41.4
Tiago Gabriel,Lecce,37,3220,1.76,1.26,2.4,0.56,6.79,4.22,68.2,5.23,66.3,41.7,1.509433962264151,1.0806174957118355,2.058319039451115,0.4802744425385936,5.823327615780446,3.619210977701544,4.485420240137222,-0.03951374516331785,-0.17322178869234658,-1.296860402056179,-0.7769099451224243,0.878784347898275,-0.581504792760751,2.0507846892871653,0.6624470878927416,1.0539447489491385,2,Aerial Stopper,17.6,20.3,33.3,28.8,33.3
Johan Vásquez,Genoa,36,3217,1.65,1.26,3.41,0.76,4.31,4.7,66.7,4.34,47.1,48.8,1.611328125,1.23046875,3.330078125,0.7421875,4.208984375,4.58984375,4.23828125,0.15327027522677356,0.23042356976403144,-0.21437927405808985,0.39840736266483273,-0.4359118080471124,0.18113467087270793,1.8216190240272316,0.4629473696894772,-1.303319875629387,3,Coverage Defender,24.1,24.0,23.2,28.8,28.8
Simone Canestrelli,Pisa,37,3201,1.12,0.93,2.73,0.53,5.23,3.46,52.0,4.3,61.4,40.2,0.9364548494983278,0.7775919732441472,2.282608695652174,0.44314381270903014,4.372909698996656,2.8929765886287626,3.5953177257525084,-1.123591713838553,-0.9894635093167826,-1.1059521374314845,-0.9435311602336954,-0.3024135606630445,-1.1521170992493432,-0.42420449552011985,-0.05607652787978554,0.4523511728848273,3,Coverage Defender,22.3,15.8,20.3,41.6,41.6
Saúl Coco,Torino,35,3090,1.69,1.25,2.56,1.19,5.01,4.92,58.6,3.58,53.7,44.1,1.5116279069767442,1.1180679785330947,2.289803220035778,1.0644007155635062,4.4812164579606435,4.400715563506261,3.2021466905187834,-0.035362796072114566,-0.07234366368391591,-1.099828385725152,1.8443175922660358,-0.21421021203439725,0.03253406431787069,0.584124431623589,-0.37345870497479666,-0.4930101609305185,3,Coverage Defender,20.1,16.3,24.2,39.3,39.3
Antonio Caracciolo,Pisa,35,3074,2.08,1.46,3.37,0.7,5.62,4.86,50.6,2.78,57.9,40.2,1.7391304347826086,1.2207357859531773,2.817725752508361,0.5852842809364548,4.698996655518394,4.063545150501673,2.3244147157190636,0.395072577080939,0.2042064668096048,-0.6504774159226541,-0.30568532671967275,-0.03685338893909024,-0.23238534729233631,-0.6380924497627245,-1.081996364424292,0.022641475696033513,3,Coverage Defender,31.6,16.7,16.3,35.5,35.5
Gianluca Mancini,Roma,36,3066,1.53,1.44,3.2,0.41,3.7,5.61,50.8,4.26,62.8,56.3,1.7505720823798625,1.6475972540045765,3.6613272311212812,0.4691075514874141,4.233409610983982,6.418764302059496,4.874141876430206,0.416720204034835,1.3540176652630258,0.0675694929033553,-0.8270206209850044,-0.4160202738027126,1.6181425987504818,-0.6075370277280674,0.9762375458731004,0.6242350517603447,1,Aggressor,11.4,68.2,10.9,9.5,68.2
Jay Idzes,Sassuolo,35,3063,0.82,1.23,2.88,0.62,5.61,2.62,52.8,3.2,48.6,46.2,0.762081784386617,1.1431226765799256,2.6765799256505574,0.5762081784386617,5.213754646840149,2.4349442379182156,2.9739776951672865,-1.4535060056623739,-0.004855322514067333,-0.7706162815343875,-0.3464137289471152,0.3823575541474052,-1.511999390721421,-0.30198280738148897,-0.5576451429385968,-1.1191585768341896,3,Coverage Defender,21.1,13.3,17.5,48.1,48.1
Sebastiano Luperto,Cremonese,34,3017,1.04,0.89,2.42,0.51,4.74,3.4,59.6,2.24,44.0,46.6,0.9737827715355806,0.8333333333333334,2.2659176029962547,0.4775280898876405,4.438202247191012,3.1835205992509366,2.0973782771535583,-1.0529671884493506,-0.839316342508432,-1.120159067824989,-0.7892340187491398,-0.24924031970996194,-0.9238326906175318,0.7369015417968782,-1.2652685607318925,-1.6839198931394617,3,Coverage Defender,29.8,16.1,17.7,36.4,36.4
Filippo Terracciano,Cremonese,36,3012,0.99,1.67,4.18,0.69,3.5,2.99,63.0,2.21,58.1,46.6,0.9269662921348315,1.5636704119850189,3.9138576779026217,0.6460674157303371,3.2771535580524347,2.7996254681647943,2.0692883895131087,-1.1415440890004054,1.1279489520445756,0.282515425660538,-0.03292507934123688,-1.1947804067970027,-1.2254643531975462,1.2563437163860611,-1.287943755226778,0.04719631553539351,3,Coverage Defender,25.7,20.7,21.0,32.6,32.6
Lloyd Kelly,Juventus,35,2998,1.44,0.42,5.04,0.51,3.48,4.32,57.6,4.29,62.9,57.6,1.6981132075471699,0.49528301886792453,5.943396226415095,0.6014150943396227,4.10377358490566,5.09433962264151,5.058962264150944,0.317467876680179,-1.7499022498928491,2.0099944759566073,-0.23329938168436828,-0.521593847533421,0.5775239879215556,0.4313473214502998,1.1254313871525876,0.6365124716800247,1,Aggressor,18.3,46.1,18.5,17.1,46.1
Oumar Solet,Udinese,35,2961,2.28,1.46,5.17,0.58,3.8,7.05,61.6,2.8,54.3,45.6,2.0955882352941178,1.3419117647058825,4.751838235294118,0.5330882352941176,3.4926470588235294,6.4797794117647065,2.573529411764706,1.0694916609313694,0.5306109511249641,0.9957779840436887,-0.5399115865178583,-1.0192858341818205,1.6660830061498009,1.0424557621434565,-0.8809017834607499,-0.4193456414124403,1,Aggressor,28.2,36.3,16.9,18.6,36.3
Enrico Delprato,Parma,35,2953,1.1,0.73,2.32,0.67,3.32,2.77,56.0,2.13,48.6,44.2,0.9856630824372761,0.6541218637992832,2.078853046594982,0.6003584229390682,2.974910394265233,2.482078853046595,1.9086021505376343,-1.0304896093847817,-1.3220475562256024,-1.2793825043411247,-0.2380411238401543,-1.440922562662013,-1.4749650780276973,0.18690394517303688,-1.4176556205093473,-1.1191585768341896,3,Coverage Defender,30.4,16.8,18.3,34.5,34.5
